Field No.,Field Name,Technical Field Name,MDRM,Description,Allowable Values
62,Accounts Receivable (A/R) Current,AccountsReceivableCurrent,CLCEM309,Report the money owed to the entity identified in Field 2 or Field 49 for merchandise or services sold on open account.,"Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
63,Accounts Receivable (A/R) Prior Year,AccountsReceivablePriorYear,CLCEM310,"Report the money owed to the entity identified in Field 2 or Field 49 for merchandise or services sold on open account. Report data one year prior to date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
64,Inventory Current,InventoryCurrent,CLCEM311,"Report the value of the raw materials, work in process, supplies used in operations, finished goods, and merchandise bought for resale of the entity identified in Field 2 or Field 49.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
65,Inventory Prior Year,InventoryPriorYear,CLCEM312,"Report the value of the raw materials, work in process, supplies used in operations, finished goods, and merchandise bought for resale of the entity identified in Field 2 or Field 49. Report data one year prior to date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
66,Current Assets Current,CurrentAssetsCurrent,CLCEM313,"Report the cash, accounts receivable, inventory, and other assets of the entity identified in Field 2 or Field 49 that are likely to be converted into cash, sold, exchanged, or expensed in the normal course of business, usually within one year and other assets expected to be converted to cash within a year. Examples include accounts receivable, prepaid expenses, and many negotiable securities as of the date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
67,Current Assets Prior Year,CurrentAssetsPriorYear,CLCEM314,"Report the cash, accounts receivable, inventory, and other assets of the entity identified in Field 2 or Field 49 that are likely to be converted into cash, sold, exchanged, or expensed in the normal course of business, usually within one year. Report data one year prior to the date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
68,Tangible Assets,TangibleAssets,CLCEM315,"Report the assets of the entity identified in Field 2 or Field 49 having a physical existence, such as cash, equipment, real estate, real property, and personal property such as buildings and machinery; accounts receivable are also usually considered tangible assets for accounting purposes. Distinguished from intangible assets such as trademarks, copyrights, and goodwill, and natural resources.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
69,Fixed Assets,FixedAssets,CLCEM316,"Report the tangible property of the entity identified in Field 2 or Field 49 used in the business and not for resale. This includes but is not limited to buildings, furniture, fixtures, equipment, and land. Report fixed assets net of depreciation.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
70,Total Assets (TA) Current,TotalAssetsCurrent,CLCE2170,"Report the sum of the current assets of the entity identified in Field 2 or Field 49 plus net property, plant, and equipment plus other non-current assets (including but not limited to intangible assets, deferred items, and investments and advances) as of the date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
71,Total Assets (TA) Prior Year,TotalAssetsPriorYear,CLCEM317,"Report the sum of the current assets of the entity identified in Field 2 or Field 49 plus net property, plant, and equipment plus other non-current assets (including intangible assets, deferred items, and investments and advances). Report data one year prior to date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
72,Accounts Payable (A/P) Current,AccountsPayableCurrent,CLCE3066,"Report the obligations owed to the creditors of the entity identified in Field 2 or Field 49 arising from the entity's ongoing operations, including the purchase of goods, materials, supplies, and services as of the date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
73,Accounts Payable (A/P) Prior Year,AccountsPayablePriorYear,CLCEM325,"Report the obligations owed to the creditors of the entity identified in Field 2 or Field 49 arising from the entity's ongoing operations, including the purchase of goods, materials, supplies, and services. Report data one year prior to date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
74,Short Term Debt,ShortTermDebt,CLCEM319,Report the debt obligations of the entity identified in Field 2 or Field 49 with a term of less than one year.,"Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
75,Current Maturities of Long Term Debt,CurrentMaturitiesLongTermDebt,CLCEM320,Report the portion of long-term debt of the entity identified in Field 2 or Field 49 due within one year.,"Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
76,Current Liabilities Current,CurrentLiabilitiesCurrent,CLCEM321,"Report the short-term debt, accounts payable and other current liabilities of the entity identified in Field 2 or Field 49 that are due within one year.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
77,Current Liabilities Prior Year,CurrentLiabilitiesPriorYear,CLCEM322,"Report the short-term debt, accounts payable and other current liabilities of the entity identified in Field 2 or Field 49 that are due within one year. Report data one year prior to date reported in Field 52.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
78,Long Term Debt,LongTermDebt,CLCEM323,Report the liabilities of the entity identified in Field 2 or Field 49 that are due in one year or more.,"Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
79,Minority Interest,MinorityInterest,CLCE4484,"Report the interest of shareholders who, in the aggregate, own less than half the shares in a corporation. On the consolidated balance sheets of companies whose subsidiaries are not wholly owned, the minority interest is shown as a separate equity account or as a liability of indefinite term. Enter 'NA' if not applicable.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal. Enter 'NA' if not applicable."
80,Total Liabilities,TotalLiabilities,CLCE2950,"Report the sum of current liabilities plus long-term debt plus other non-current liabilities (including deferred taxes, investment tax credit, and minority interest) of the entity identified in Field 2 or Field 49.","Rounded whole dollar amount (e.g. 20000000). No dollar sign, commas, or decimal."
