Region,Country,Currency
Middle East & North Africa,Lebanon,LBP
Middle East & North Africa,Libya,LYD
Middle East & North Africa,Morocco,MAD
Middle East & North Africa,Oman,OMR
Middle East & North Africa,Pakistan,PKR
Middle East & North Africa,Qatar,QAR
Middle East & North Africa,Saudi Arabia,SAR
Middle East & North Africa,Somalia,SOS
Middle East & North Africa,Syria,SYP
Middle East & North Africa,Tunisia,TND
Middle East & North Africa,Turkey,TRY
Middle East & North Africa,United Arab Emirates,AED
Middle East & North Africa,Yemen,YER
Sub-Saharan Africa,Angola,AOA
Sub-Saharan Africa,Benin,XOF
Sub-Saharan Africa,Botswana,BWP
Sub-Saharan Africa,Burkina Faso,XOF
Sub-Saharan Africa,Burundi,BIF
Sub-Saharan Africa,Cameroon,XAF
Sub-Saharan Africa,Cape Verde,CVE
Sub-Saharan Africa,Central African Republic,XAF
Sub-Saharan Africa,Chad,XAF
Sub-Saharan Africa,Congo-Brazzaville,XAF
Sub-Saharan Africa,Comoros,KMF
Sub-Saharan Africa,Cote d'Ivoire,XOF
Sub-Saharan Africa,Democratic Republic of the Congo,CDF
Sub-Saharan Africa,Djibouti,DJF
Sub-Saharan Africa,Equatorial Guinea,GQE
Sub-Saharan Africa,Eritrea,ERN
Sub-Saharan Africa,Ethiopia,ETB
Sub-Saharan Africa,Gabon,XAF
Sub-Saharan Africa,Gambia,GMD
Sub-Saharan Africa,Ghana,GHC
Sub-Saharan Africa,Guinea,GNF
Sub-Saharan Africa,Guinea-Bissau,XOF
Sub-Saharan Africa,Kenya,KES
Sub-Saharan Africa,Lesotho,LSL
Sub-Saharan Africa,Liberia,LRD
Sub-Saharan Africa,Madagascar,MGF
Sub-Saharan Africa,Malawi,MWK
Sub-Saharan Africa,Mali,XOF
Sub-Saharan Africa,Mauritania,MRO
Sub-Saharan Africa,Mauritius,MUR
Sub-Saharan Africa,Mozambique,MZM
Sub-Saharan Africa,Namibia,NAD
Sub-Saharan Africa,Niger,XOF
Sub-Saharan Africa,Nigeria,NGN
Sub-Saharan Africa,Republic of the Congo,XAF
Sub-Saharan Africa,Rwanda,RWF
Sub-Saharan Africa,Senegal,XOF
Sub-Saharan Africa,Seychelles,SCR
Sub-Saharan Africa,Sierra Leone,SLL
Sub-Saharan Africa,South Africa,ZAR
Sub-Saharan Africa,Sudan,SDG
Sub-Saharan Africa,Swaziland,SZL
Sub-Saharan Africa,Tanzania,TZS
Sub-Saharan Africa,Togo,XOF
Sub-Saharan Africa,Uganda,UGX
Sub-Saharan Africa,Zambia,ZMK
Sub-Saharan Africa,Zimbabwe,USD
