form_family,schedule,line_number,item_description,column_role,mdrm_code,forms,start_date,notes
call,RC-C,12,Total loans and leases held for investment and held for sale (must equal Sch RC items 4.a+4.b),mdrm_consolidated,RCFD2122,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,12,Total loans and leases held for investment and held for sale (must equal Sch RC items 4.a+4.b),mdrm_domestic,RCON2122,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.a.(1),"Loans secured by RE: Construction, land development, and other land loans: 1-4 family residential construction loans",mdrm_consolidated,RCFDF158,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.a.(1),"Loans secured by RE: Construction, land development, and other land loans: 1-4 family residential construction loans",mdrm_domestic,RCONF158,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.a.(2),Loans secured by RE: Other construction loans and all land development and other land loans,mdrm_consolidated,RCFDF159,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.a.(2),Loans secured by RE: Other construction loans and all land development and other land loans,mdrm_domestic,RCONF159,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.b,Loans secured by RE: Secured by farmland (incl farm residential and other improvements),mdrm_consolidated,RCFD1420,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.b,Loans secured by RE: Secured by farmland (incl farm residential and other improvements),mdrm_domestic,RCON1420,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.c.(1),"Loans secured by RE: Secured by 1-4 family residential: Revolving, open-end loans (HELOCs)",mdrm_consolidated,RCFD1797,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.c.(1),"Loans secured by RE: Secured by 1-4 family residential: Revolving, open-end loans (HELOCs)",mdrm_domestic,RCON1797,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.c.(2)(a),Loans secured by RE: 1-4 family residential closed-end: Secured by first liens,mdrm_consolidated,RCFD5367,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.c.(2)(a),Loans secured by RE: 1-4 family residential closed-end: Secured by first liens,mdrm_domestic,RCON5367,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.c.(2)(b),Loans secured by RE: 1-4 family residential closed-end: Secured by junior liens,mdrm_consolidated,RCFD5368,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.c.(2)(b),Loans secured by RE: 1-4 family residential closed-end: Secured by junior liens,mdrm_domestic,RCON5368,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.d,Loans secured by RE: Secured by multifamily (5 or more) residential properties,mdrm_consolidated,RCFD1460,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.d,Loans secured by RE: Secured by multifamily (5 or more) residential properties,mdrm_domestic,RCON1460,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.e.(1),Loans secured by RE: Nonfarm nonresidential: Owner-occupied,mdrm_consolidated,RCFDF160,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.e.(1),Loans secured by RE: Nonfarm nonresidential: Owner-occupied,mdrm_domestic,RCONF160,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.e.(2),Loans secured by RE: Nonfarm nonresidential: Other,mdrm_consolidated,RCFDF161,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,1.e.(2),Loans secured by RE: Nonfarm nonresidential: Other,mdrm_domestic,RCONF161,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,10.a,"Lease financing: Leases to individuals for household, family, and other personal expenditures (consumer leases)",mdrm_consolidated,RCFDF162,031/041/051,2007-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,10.a,"Lease financing: Leases to individuals for household, family, and other personal expenditures (consumer leases)",mdrm_domestic,RCONF162,031/041/051,2007-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,10.b,Lease financing: All other leases,mdrm_consolidated,RCFDF163,031/041/051,2007-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,10.b,Lease financing: All other leases,mdrm_domestic,RCONF163,031/041/051,2007-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,2.a,Loans to depository institutions and acceptances of other banks: To commercial banks in the U.S.,mdrm_consolidated,RCFDB531,031/041/051,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,2.a,Loans to depository institutions and acceptances of other banks: To commercial banks in the U.S.,mdrm_domestic,RCONB531,031/041/051,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,2.a.(1),Loans to depository institutions: To U.S. branches and agencies of foreign banks,mdrm_consolidated,RCFDB532,031,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,2.a.(2),Loans to depository institutions: To other commercial banks in the U.S.,mdrm_consolidated,RCFDB533,031,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,2.b,Loans to depository institutions: To other depository institutions in the U.S.,mdrm_consolidated,RCFDB534,031/041/051,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,2.b,Loans to depository institutions: To other depository institutions in the U.S.,mdrm_domestic,RCONB534,031/041/051,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,2.c,Loans to depository institutions: To banks in foreign countries,mdrm_consolidated,RCFDB535,031/041/051,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,2.c,Loans to depository institutions: To banks in foreign countries,mdrm_domestic,RCONB535,031/041/051,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,2.c.(1),Loans to depository institutions: To foreign branches of other U.S. banks,mdrm_consolidated,RCFDB536,031,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,2.c.(2),Loans to depository institutions: To other banks in foreign countries,mdrm_consolidated,RCFDB537,031,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,4.a,Commercial and industrial loans: To U.S. addressees (domicile),mdrm_consolidated,RCFD1763,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,4.a,Commercial and industrial loans: To U.S. addressees (domicile),mdrm_domestic,RCON1763,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,4.b,Commercial and industrial loans: To non-U.S. addressees (domicile),mdrm_consolidated,RCFD1764,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,4.b,Commercial and industrial loans: To non-U.S. addressees (domicile),mdrm_domestic,RCON1764,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,6.a,Loans to individuals (consumer loans): Credit cards,mdrm_consolidated,RCFDB538,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,6.a,Loans to individuals (consumer loans): Credit cards,mdrm_domestic,RCONB538,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,6.b,Loans to individuals: Other revolving credit plans,mdrm_consolidated,RCFDB539,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,6.b,Loans to individuals: Other revolving credit plans,mdrm_domestic,RCONB539,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,6.c,Loans to individuals: Automobile loans,mdrm_consolidated,RCFDK137,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,6.c,Loans to individuals: Automobile loans,mdrm_domestic,RCONK137,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,6.d,"Loans to individuals: Other consumer loans (single payment, installment, student loans)",mdrm_consolidated,RCFDK207,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,6.d,"Loans to individuals: Other consumer loans (single payment, installment, student loans)",mdrm_domestic,RCONK207,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,9.a,Loans to nondepository financial institutions and other loans: Loans to nondepository financial institutions,mdrm_consolidated,RCFDJ454,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,9.a,Loans to nondepository financial institutions and other loans: Loans to nondepository financial institutions,mdrm_domestic,RCONJ454,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,9.b,Other loans (041 aggregate of 9.b.(1) and 9.b.(2)),mdrm_domestic,RCONJ464,041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,9.b.(1),Other loans: Loans for purchasing or carrying securities (incl margin loans),mdrm_consolidated,RCFD1545,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,9.b.(1),Other loans: Loans for purchasing or carrying securities (incl margin loans),mdrm_domestic,RCON1545,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,9.b.(2),Other loans: All other loans (exclude consumer loans),mdrm_consolidated,RCFDJ451,031/041/051,2010-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,9.b.(2),Other loans: All other loans (exclude consumer loans),mdrm_domestic,RCONJ451,031/041/051,2010-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.a.(1),RC-C Part I Memoranda: Loan modifications to borrowers in financial difficulty: Construction/land dev: 1-4 family residential construction loans,mdrm_domestic,RCONK158,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.a.(2),RC-C Part I Memoranda: Loan modifications: Construction/land dev: Other construction & land development loans,mdrm_domestic,RCONK159,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.b,RC-C Part I Memoranda: Loan modifications: Loans secured by 1-4 family residential properties,mdrm_domestic,RCONF576,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.c,RC-C Part I Memoranda: Loan modifications: Secured by multifamily (5 or more) residential properties,mdrm_domestic,RCONK160,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.d.(1),RC-C Part I Memoranda: Loan modifications: Nonfarm nonresidential: Owner-occupied,mdrm_domestic,RCONK161,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.d.(2),RC-C Part I Memoranda: Loan modifications: Nonfarm nonresidential: Other,mdrm_domestic,RCONK162,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.e,RC-C Part I Memoranda: Loan modifications: Commercial and industrial loans (total),mdrm_domestic,RCONK256,041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.e.(1),RC-C Part I Memoranda: Loan modifications: Commercial and industrial loans: To U.S. addressees (domicile),mdrm_consolidated,RCFDK163,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.e.(1),RC-C Part I Memoranda: Loan modifications: Commercial and industrial loans: To U.S. addressees (domicile),mdrm_domestic,RCONK163,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.e.(2),RC-C Part I Memoranda: Loan modifications: Commercial and industrial loans: To non-U.S. addressees (domicile),mdrm_consolidated,RCFDK164,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.e.(2),RC-C Part I Memoranda: Loan modifications: Commercial and industrial loans: To non-U.S. addressees (domicile),mdrm_domestic,RCONK164,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.f,RC-C Part I Memoranda: Loan modifications: All other loans (incl loans to individuals),mdrm_domestic,RCONK165,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.f.(1),RC-C Part I Memoranda: Loan modifications itemized: Loans secured by farmland,mdrm_domestic,RCONK166,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.f.(3),RC-C Part I Memoranda: Loan modifications itemized: Loans to finance agricultural production and other loans to farmers,mdrm_domestic,RCONK168,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.f.(4)(a),RC-C Part I Memoranda: Loan modifications itemized: Loans to individuals: Credit card,mdrm_domestic,RCONK098,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.f.(4)(b),RC-C Part I Memoranda: Loan modifications itemized: Loans to individuals: Automobile loans,mdrm_domestic,RCONK203,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.f.(4)(c),"RC-C Part I Memoranda: Loan modifications itemized: Loans to individuals: Other (revolving credit plans other than credit cards, other consumer)",mdrm_domestic,RCONK204,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.1.g,RC-C Part I Memoranda: Total loan modifications to borrowers in financial difficulty in compliance with modified terms,mdrm_domestic,RCONHK25,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.10.a,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to mortgage credit intermediaries,mdrm_consolidated,RCFDPV05,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.10.a,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to mortgage credit intermediaries,mdrm_domestic,RCONPV05,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.10.b,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to business credit intermediaries,mdrm_consolidated,RCFDPV06,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.10.b,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to business credit intermediaries,mdrm_domestic,RCONPV06,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.10.c,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to private equity funds,mdrm_consolidated,RCFDPV07,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.10.c,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to private equity funds,mdrm_domestic,RCONPV07,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.10.d,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to consumer credit intermediaries,mdrm_consolidated,RCFDPV08,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.10.d,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to consumer credit intermediaries,mdrm_domestic,RCONPV08,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.10.e,RC-C Part I Memoranda: Loans to nondepository financial institutions: Other loans to nondepository financial institutions,mdrm_consolidated,RCFDPV09,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.10.e,RC-C Part I Memoranda: Loans to nondepository financial institutions: Other loans to nondepository financial institutions,mdrm_domestic,RCONPV09,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.a.(1),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family residential (domestic): Three months or less,mdrm_domestic,RCONA564,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.a.(2),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family: Over three months through 12 months,mdrm_domestic,RCONA565,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.a.(3),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family: Over one year through three years,mdrm_domestic,RCONA566,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.a.(4),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family: Over three years through five years,mdrm_domestic,RCONA567,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.a.(5),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family: Over five years through 15 years,mdrm_domestic,RCONA568,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.a.(6),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family: Over 15 years,mdrm_domestic,RCONA569,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(1),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Three months or less,mdrm_consolidated,RCFDA570,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(1),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Three months or less,mdrm_domestic,RCONA570,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(2),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over three months through 12 months,mdrm_consolidated,RCFDA571,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(2),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over three months through 12 months,mdrm_domestic,RCONA571,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(3),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over one year through three years,mdrm_consolidated,RCFDA572,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(3),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over one year through three years,mdrm_domestic,RCONA572,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(4),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over three years through five years,mdrm_consolidated,RCFDA573,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(4),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over three years through five years,mdrm_domestic,RCONA573,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(5),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over five years through 15 years,mdrm_consolidated,RCFDA574,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(5),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over five years through 15 years,mdrm_domestic,RCONA574,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(6),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over 15 years,mdrm_consolidated,RCFDA575,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.b.(6),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over 15 years,mdrm_domestic,RCONA575,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.c,RC-C Part I Memoranda: Loans and leases with REMAINING MATURITY of one year or less,mdrm_consolidated,RCFDA247,031/041/051,1996-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.2.c,RC-C Part I Memoranda: Loans and leases with REMAINING MATURITY of one year or less,mdrm_domestic,RCONA247,031/041/051,1996-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.3,"RC-C Part I Memoranda: Loans to finance commercial real estate, construction, and land development (not secured by RE)",mdrm_domestic,RCON2746,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.4,RC-C Part I Memoranda: Adjustable-rate closed-end loans secured by first liens on 1-4 family residential (domestic),mdrm_domestic,RCON5370,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.5,RC-C Part I Memoranda: Loans secured by real estate to non-U.S. addressees (domicile),mdrm_consolidated,RCFDB837,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.5,RC-C Part I Memoranda: Loans secured by real estate to non-U.S. addressees (domicile),mdrm_domestic,RCONB837,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.6,RC-C Part I Memoranda: Outstanding credit card fees and finance charges (incl in item 6.a),mdrm_consolidated,RCFDC391,031/041/051,2003-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.6,RC-C Part I Memoranda: Outstanding credit card fees and finance charges (incl in item 6.a),mdrm_domestic,RCONC391,031/041/051,2003-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.8.a,RC-C Part I Memoranda: Closed-end loans with negative amortization features secured by 1-4 family residential: Total amount,mdrm_domestic,RCONF230,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.8.b,RC-C Part I Memoranda: Negative amortization: Total maximum remaining amount contractually permitted,mdrm_domestic,RCONF231,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.8.c,RC-C Part I Memoranda: Negative amortization: Total amount of negative amortization,mdrm_domestic,RCONF232,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
call,RC-C,M.9,RC-C Part I Memoranda: Loans secured by 1-4 family residential properties in process of foreclosure,mdrm_domestic,RCONF577,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
