Line Item No.,Line Item Name,MDRM (CCFL),Detailed Description,Allowed Values,Format / Line Item Length
101,P&I Amount Before Modification (Retired September 2022),M930,Retired September 2022,,
102,P&I Amount After Modification (Retired September 2022),M931,Retired September 2022,,
103,Interest Rate Before Modification,M932,"Report the interest rate in the month prior to loan modification. This line item should only be populated for loans with a value in Line item 74 (Modification Type).","Provide as a decimal. E.g.: 0.0575 for 5.75%","Numeric, up to 5 decimals"
104,Interest Rate After Modification,M933,"Report the interest rate in the month after loan modification. This line item should only be populated for loans with a value in Line item 74 (Modification Type).","Provide as a decimal. E.g.: 0.0575 for 5.75%","Numeric, up to 5 decimals"
105,Remaining Term Before Modification (Retired September 2022),M934,Retired September 2022,,
106,Remaining Term After Modification (Retired September 2022),M935,Retired September 2022,,
107,Escrow Amount Before Modification (Retired March 2020),M936,Retired March 2020,,
108,Escrow Amount After Modification (Retired March 2020),M937,Retired March 2020,,
109,Alternative Home Liquidation Loss Mitigation Date (Retired March 2020),M938,Retired March 2020,,
110,Alternative Home Retention Loss Mitigation Date (Retired March 2020),M939,Retired March 2020,,
111,Original Property Valuation Method (appraisal method),M940,"Report the method by which the value of the property was determined at the time the loan was originated. Options are: Full appraisal (interior and exterior inspections by licensed appraiser); Limited appraisal (certified appraiser without full interior/exterior inspection); Broker Price Opinion (BPO, prepared by real estate broker or agent); Desktop Valuation (prepared by bank employee); Automated Valuation Model (AVM).","1=Full Appraisal; 2=Limited Appraisal; 3=Broker Price Opinion; 4=Desktop Valuation; 5=Automated Valuation Model; 6=Unknown",Character(1)
112,Third Party Sale Flag,M941,"Identification of Third Party Sales at time of Foreclosure Sale. Report any loan where the title has transferred to a party other than the servicer at the time of foreclosure sale. If the loan was not sold to a third party or is not currently in foreclosure this line item should be coded with a zero.","0 = The loan was not sold to a third party (also code zero loans not in foreclosure); 1 = The loan was sold to a third party at foreclosure sale",Character(1)
113,Escrow Amount Current,M268,"Report the scheduled escrow amount (including taxes and insurance) due from the borrower scheduled for the reporting month. For non-escrow loans, report a value of zero.","Whole Number e.g., 5123 for $5,122.81. Use banker's rounding.",Whole Number
114,Escrow Amount at Origination (Retired March 2020),M942,Retired March 2020,,
115,Remodified Flag,M943,"Report whether the loan has been modified more than once in the last 24 months. Code with a ""Y"" if the loan has been modified more than once in the last 24 months.","N = No; Y = Yes",Character(1)
116,Mortgage Insurance Company,M944,"Report the mortgage insurance company. If the mortgage is insured against loss in any way, either through primary or pool-level insurance, then report the company providing that insurance. If more than one company is insuring against losses, give preference to the company providing the primary MI.","MI Company Coding: 1=GE; 2=MGIC; 3=PMI; 4=UGIC; 5=RMIC; 6=Radian; 7=Integon; 8=Triad; 9=CMG; 10=Essent; 11=No MI; 12=Has MI - Company Other/Unknown; 13=National Mortgage Insurance; 14=Arch MI; 99=Unknown whether has MI. Note: List subject to change for new MI Company entrants.",Numeric
117,Interest Type at Origination,M244,"Report the interest type at origination. Fixed - Loans where the interest rate is fixed for the entire term. Variable - Loans where the interest rate fluctuates based on a spread to an index. Include all variable rate loans regardless of whether there is an initial fixed period.","1 = Fixed; 2 = Variable",Character(1)
118,Entity Serviced,M945,"Report the federal regulator of the BHC or IHC or SLHC subsidiary that is servicing the loan. If the loan is a commercial loan secured by residential real estate loans, report the Federal Regulator of the entity servicing the commercial loan. Example: national bank = OCC (code 2); state nonmember bank = FDIC (code 3); state member bank or non-federally-insured subsidiary = FRB (code 1).","1 = FRB; 2 = OCC; 3 = FDIC",Character(1)
119,Loss/Write down Amount (Retired March 2020),M241,Retired March 2020,,
