Line Item No.,Line Item Name,MDRM (CCFL),Detailed Description,Allowed Values,Format / Line Item Length
132,Interest Type - Current,M248,"Report the loan interest type in the current reporting month. Fixed - Loans where the interest rate is fixed for the entire term. Variable - Loans where the interest rate fluctuates based on a spread to an index. Include all variable rate loans regardless of whether there is an initial fixed period.","1 = Fixed; 2 = Variable",Character(1)
133,Product Type - Origination,M955,"Report the product type as of the loan origination. Identifies the product type of the mortgage, including the interest type, amortization term and initial fixed period for hybrid products.","1 = Fixed 30; 2 = Fixed 20; 3 = Fixed 15; 4 = ARM 2; 5 = ARM 3; 6 = ARM 5; 7 = ARM 7; 8 = ARM 10; 9 = ARM Other; 10 = Other; 11 = Fixed 40; 12 = Fixed Greater than 40; 13 = Fixed Other; 14 = Fixed 10; 15 = ARM 1; 16 = ARM 15",Character(2)
134,Origination Credit Bureau Score Vendor,R036,"List the vendor of the commercially available credit bureau score reported in item 13. If the vendor is not among those listed, please select ""Other"" and report the vendor in item 135. List the version of the credit score in item 135. Note that scores which do not meet the definition of a commercially available credit bureau score may be treated as missing data by the Federal Reserve.","1=FICO; 2=VantageScore; 3=Other",Character(1)
135,Origination Credit Bureau Score Version,R037,"Provide the version of the commercially available credit bureau score reported in item 13 (for example, FICO 08 or VantageScore 3.0). If ""Other"" was selected in item 134, please report the vendor name along with the schedule version (in the format ""vendor name - score version"").",Text String,Character(30)
136,Current Credit Bureau Score Vendor,R038,"List the vendor of the commercially available credit bureau score reported in item 48. If the vendor is not among those listed, please select ""Other"" and report the vendor in item 137. The current credit bureau score related fields are required for portfolio loans and optional for loans that the BHC, IHC or SLHC services for others.","1=FICO; 2=VantageScore; 3=Other",Character(1)
137,Current Credit Bureau Score Version,R039,"Provide the version of the commercially available credit bureau score reported in item 48 (for example, FICO 08 or VantageScore 3.0). If ""Other"" was selected in item 136, please report the vendor name along with the schedule version. Required for portfolio loans, optional for serviced-for-others loans.",Text String,Character(30)
138,Current Credit Bureau Score Date,S382,"Provide the date on which the commercially available credit bureau score reported in item 48 was obtained. This field must be updated at least one month within the quarter, and refreshed at least one month within every subsequent quarter. Required for portfolio loans, optional for serviced-for-others loans.",YYYYMMDD,YYYYMMDD
139,Serviced by Others (SBO) Flag,R622,"Indicates the servicer of the loan. If the loan is serviced by entities other than the BHC or IHC or SLHC or its subsidiary, use a code of Y. If serviced by the BHC or IHC or SLHC or its subsidiary, use a code of N.","Y-Yes; N-No",Character(1)
140,Reporting As of Month Date,R623,"Indicate the reporting as of month date. Note: This field will generally be consistent with the AS_OF_MON_ID used in the file naming convention. However, loans flagged as SBO loans may have a different reporting as of date.",YYYYMM,YYYYMM
141,National Bank RSSD ID,JA26,"Report the RSSD ID of the national bank that has a financial interest in the loan. A national bank subsidiary is deemed to have a financial interest if it owns the loan and/or services the loan. If no National Bank subsidiary of the reporting BHC either owns or services the loan, this field should be left blank (null).",RSSD ID of a national bank subsidiary is the only valid value.,Whole Number
142,Actual Payment Amount,M259,"Actual Payment Amount - Report the actual dollar amount of the principal and interest payment received in the reporting month, which could include principal curtailments. Do not include fee payments or reversals.","e.g. 1250 for $1,250. Use Banker's Rounding",Whole Number
143,Workout Type Started,PG60,"Report the workout type started. This line item should be coded for any loan where a loss mitigation effort has started or is in progress for the current month. Code in the reporting month when started and in subsequent months up to but not including the month the workout type was completed. If workout began and ended in the same month, code as 0 and fill out Line 77.","0 = No Active Workout Plan; 1 = Modification; 2 = Repayment Plan; 3 = Deed in Lieu; 4 = Short Sale; 9 = Forbearance; 10 = MI Claim Advance; 12 = Other; 16 = Refinance; 17 = Partial Claim/Junior Lien",Numeric
144,Fair Value Amount,PG61,"Report the current fair value of the loan as of the reporting month if held under the fair value option (FVO) or held for sale (HFS). This field should be populated if the value in Field 130 =""Y"" (HFI FVO/HFS Flag).","e.g. 1250 for $1,250. Use Banker's Rounding",Whole Number
