PID,Product,Required,Dependent,Not Applicable
S.L.7,Subsidiary Funding That Cannot be Transferred,,,Y
S.L.8,Subsidiary Funding Available for Transfer,,,Y
S.L.9,Additional Funding Requirement for Off-Balance Sheet Rehypothecated Assets,Y,,
S.L.10,Net Stable Funding Ratio,,,Y
S.B.1,Regulatory Capital Element,,,Y
S.B.2,Other Liabilities,,Y,
S.B.3,Non-Performing Assets,Y,,
S.B.4,Other Assets,,Y,
S.B.5,Counterparty Netting,Y,,
S.B.6,Carrying Value Adjustment,,Y,
S.I.1,Long Market Value Client Assets,Y,,
S.I.2,Short Market Value Client Assets,Y,,
S.I.3,Gross Client Wires Received,Y,,
S.I.4,Gross Client Wires Paid,Y,,
S.I.5,FRB 23A Capacity,,,Y
S.I.6,Subsidiary Liquidity Not Transferrable,Y,,
S.FX.1,Spot,,,Y
S.FX.2,Forwards and Futures,,,Y
S.FX.3,Swaps,,,Y
